uuid,adm4_pcode,date,freq,pr_norm,spi3,spi6,pnp
CIDXS007080,PH063022001,2003-01-01,M,40.31,-1.17,-0.16,45.73
CIDXS007081,PH063022001,2003-02-01,M,25.96,-1.44,-0.35,55.94
CIDXS007082,PH063022001,2003-03-01,M,31.66,-1.27,-0.44,22.16
CIDXS007083,PH063022001,2003-04-01,M,47.19,-1.32,-1.31,31.46
CIDXS007084,PH063022001,2003-05-01,M,139.19,0.5,-0.18,172.64
CIDXS007085,PH063022001,2003-06-01,M,315.26,-0.22,-0.53,68.19
CIDXS007086,PH063022001,2003-07-01,M,420.81,0.37,-0.04,112.5
CIDXS007087,PH063022001,2003-08-01,M,421.64,-0.41,-0.14,92.25
CIDXS007088,PH063022001,2003-09-01,M,272.8,0.1,-0.08,95.65
CIDXS007089,PH063022001,2003-10-01,M,241.63,-0.33,-0.01,96.21
CIDXS00708A,PH063022001,2003-11-01,M,125.4,-0.18,-0.55,84.68
CIDXS00708B,PH063022001,2003-12-01,M,71.63,-0.31,-0.19,65.32
CIDXS00708C,PH063022001,2004-01-01,M,40.31,-0.73,-0.51,26.67
CIDXS00708D,PH063022001,2004-02-01,M,25.96,-0.99,-0.37,75.58
CIDXS00708E,PH063022001,2004-03-01,M,31.66,-0.55,-0.38,110.59
CIDXS00708F,PH063022001,2004-04-01,M,47.19,-0.38,-0.66,44.07
CIDXS007090,PH063022001,2004-05-01,M,139.19,0.02,-0.42,111.76
CIDXS007091,PH063022001,2004-06-01,M,315.26,1.03,0.66,149.37
CIDXS007092,PH063022001,2004-07-01,M,420.81,0.56,0.3,79.4
CIDXS007093,PH063022001,2004-08-01,M,421.64,0.34,0.22,95.56
CIDXS007094,PH063022001,2004-09-01,M,272.8,-1.28,-0.31,55.9
CIDXS007095,PH063022001,2004-10-01,M,241.63,-1.51,-0.64,60.49
CIDXS007096,PH063022001,2004-11-01,M,125.4,-1.71,-1.06,47.56
CIDXS007097,PH063022001,2004-12-01,M,71.63,-1.44,-1.99,53.64
CIDXS007098,PH063022001,2005-01-01,M,40.31,-1.51,-1.65,32.0
CIDXS007099,PH063022001,2005-02-01,M,25.96,-1.44,-1.72,29.71
CIDXS00709A,PH063022001,2005-03-01,M,31.66,-1.24,-1.47,63.97
CIDXS00709B,PH063022001,2005-04-01,M,47.19,-1.01,-1.41,40.91
CIDXS00709C,PH063022001,2005-05-01,M,139.19,-0.81,-1.18,72.06
CIDXS00709D,PH063022001,2005-06-01,M,315.26,-1.04,-1.2,80.77
CIDXS00709E,PH063022001,2005-07-01,M,420.81,-0.0,-0.31,121.39
CIDXS00709F,PH063022001,2005-08-01,M,421.64,0.24,-0.18,100.85
CIDXS0070A0,PH063022001,2005-09-01,M,272.8,0.38,-0.26,87.69
CIDXS0070A1,PH063022001,2005-10-01,M,241.63,-0.16,-0.16,101.66
CIDXS0070A2,PH063022001,2005-11-01,M,125.4,-0.34,-0.17,68.07
CIDXS0070A3,PH063022001,2005-12-01,M,71.63,-0.0,0.22,139.83
CIDXS0070A4,PH063022001,2006-01-01,M,40.31,-0.15,-0.18,67.64
CIDXS0070A5,PH063022001,2006-02-01,M,25.96,0.2,-0.2,68.08
CIDXS0070A6,PH063022001,2006-03-01,M,31.66,-0.02,-0.0,142.81
CIDXS0070A7,PH063022001,2006-04-01,M,47.19,-0.06,-0.15,66.11
CIDXS0070A8,PH063022001,2006-05-01,M,139.19,0.78,0.57,157.76
CIDXS0070A9,PH063022001,2006-06-01,M,315.26,0.9,0.68,119.42
