uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,death_total
DPSAT0018EC,W,2006-01-01,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT0018ED,W,2006-01-01,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,2
DPSAT0018EE,W,2006-01-01,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,2
DPSAT0018EF,W,2006-01-01,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,8
DPSAT0018F0,W,2006-01-02,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT0018F1,W,2006-01-02,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,3
DPSAT0018F2,W,2006-01-02,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT0018F3,W,2006-01-02,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,6
DPSAT0018F4,W,2006-01-09,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,5
DPSAT0018F5,W,2006-01-09,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,1
DPSAT0018F6,W,2006-01-09,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,4
DPSAT0018F7,W,2006-01-16,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,1
DPSAT0018F8,W,2006-01-16,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT0018F9,W,2006-01-16,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,2
DPSAT0018FA,W,2006-01-16,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,7
DPSAT0018FB,W,2006-01-23,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,2
DPSAT0018FC,W,2006-01-23,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,0
DPSAT0018FD,W,2006-01-23,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,0
DPSAT0018FE,W,2006-01-23,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,5
DPSAT0018FF,W,2006-01-23,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT001900,W,2006-01-23,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,5
DPSAT001901,W,2006-01-30,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,5
DPSAT001902,W,2006-01-30,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,6
DPSAT001903,W,2006-01-30,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,9
DPSAT001904,W,2006-02-06,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,2
DPSAT001905,W,2006-02-06,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,3
DPSAT001906,W,2006-02-06,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,8
DPSAT001907,W,2006-02-06,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,6
DPSAT001908,W,2006-02-06,PSA,City-weekly_2006_deaths,PH063022000,J45,ASTHMA,1
DPSAT001909,W,2006-02-13,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT00190A,W,2006-02-13,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT00190B,W,2006-02-13,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,1
DPSAT00190C,W,2006-02-13,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,6
DPSAT00190D,W,2006-02-13,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,3
DPSAT00190E,W,2006-02-20,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT00190F,W,2006-02-20,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,3
DPSAT001910,W,2006-02-20,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,6
DPSAT001911,W,2006-02-20,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,11
DPSAT001912,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,A00,CHOLERA,0
DPSAT001913,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT001914,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,0
DPSAT001915,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,0
DPSAT001916,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,B15,HEPATITIS A,0
DPSAT001917,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT001918,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT001919,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,I20-I25,ANGINA,0
DPSAT00191A,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,5
DPSAT00191B,W,2006-02-27,PSA,City-weekly_2006_deaths,PH063022000,T67,HEAT STROKE,0
DPSAT00191C,W,2006-03-06,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT00191D,W,2006-03-06,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,3
DPSAT00191E,W,2006-03-06,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,2
DPSAT00191F,W,2006-03-06,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,7
DPSAT001920,W,2006-03-13,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT001921,W,2006-03-13,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,1
DPSAT001922,W,2006-03-13,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT001923,W,2006-03-13,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,8
DPSAT001924,W,2006-03-20,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT001925,W,2006-03-20,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT001926,W,2006-03-20,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,5
DPSAT001927,W,2006-03-27,PSA,City-weekly_2006_deaths,PH063022000,A01,TYPHOID FEVER,1
DPSAT001928,W,2006-03-27,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,4
DPSAT001929,W,2006-03-27,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,2
DPSAT00192A,W,2006-03-27,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,11
DPSAT00192B,W,2006-04-03,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT00192C,W,2006-04-03,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,3
DPSAT00192D,W,2006-04-03,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT00192E,W,2006-04-03,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,6
