uuid,adm4_pcode,date,freq,pct_area_bare_sparse_vegetation,pct_area_builtup,pct_area_cropland,pct_area_grassland,pct_area_herbaceous_wetland,pct_area_mangroves,pct_area_permanent_water_bodies,pct_area_shrubland,pct_area_tree_cover
ESAWC000012,PH063022084,2021-01-01,Y,0.09,100.35,0.0,5.54,0.0,0.0,0.0,0.0,13.84
ESAWC000013,PH063022081,2021-01-01,Y,1.94,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
ESAWC000014,PH063022178,2021-01-01,Y,0.62,67.85,0.19,22.9,0.0,0.0,0.0,0.0,23.04
ESAWC000015,PH063022189,2021-01-01,Y,0.88,100.0,0.0,0.33,0.0,0.0,0.0,0.0,5.0
ESAWC000016,PH063022064,2021-01-01,Y,0.02,54.34,6.83,23.68,0.0,0.0,0.0,0.0,21.38
ESAWC000017,PH063022033,2021-01-01,Y,7.17,22.77,13.92,36.28,0.0,0.0,0.0,0.0,24.1
ESAWC000018,PH063022080,2021-01-01,Y,0.0,100.17,0.0,0.17,0.0,0.0,0.0,0.0,31.16
ESAWC000019,PH063022097,2021-01-01,Y,0.0,100.0,0.0,1.36,0.0,0.0,0.0,0.0,6.48
ESAWC00001A,PH063022154,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
ESAWC00001B,PH063022041,2021-01-01,Y,0.02,53.45,1.11,10.75,0.0,0.0,0.0,0.0,62.51
ESAWC00001C,PH063022186,2021-01-01,Y,0.0,100.0,0.0,6.01,0.0,0.0,0.0,0.0,9.13
ESAWC00001D,PH063022161,2021-01-01,Y,0.0,100.0,0.0,0.31,0.0,0.0,0.0,0.0,12.33
ESAWC00001E,PH063022023,2021-01-01,Y,0.02,27.56,0.86,3.3,0.02,0.0,10.99,0.0,79.72
ESAWC00001F,PH063022060,2021-01-01,Y,4.61,27.77,3.89,7.68,1.9,0.0,29.54,0.0,27.09
ESAWC000020,PH063022159,2021-01-01,Y,0.0,96.76,0.0,0.68,0.0,0.0,0.0,0.0,8.98
ESAWC000021,PH063022181,2021-01-01,Y,1.12,99.82,0.0,1.4,0.0,0.0,20.07,0.0,6.29
ESAWC000022,PH063022011,2021-01-01,Y,0.63,22.44,7.09,41.65,0.0,0.0,0.0,0.0,37.62
ESAWC000023,PH063022043,2021-01-01,Y,0.16,100.0,0.0,2.9,0.0,0.0,0.0,0.0,11.73
ESAWC000024,PH063022177,2021-01-01,Y,1.94,53.21,14.61,49.83,0.0,0.0,1.65,0.0,20.31
ESAWC000025,PH063022115,2021-01-01,Y,1.42,16.91,7.58,19.98,8.58,0.0,37.66,0.0,11.64
ESAWC000026,PH063022071,2021-01-01,Y,0.28,101.22,0.0,1.53,0.0,0.0,0.0,0.0,16.81
ESAWC000027,PH063022188,2021-01-01,Y,3.23,97.57,0.0,2.43,0.0,0.0,2.08,0.0,14.29
ESAWC000028,PH063022045,2021-01-01,Y,0.0,100.0,0.0,0.31,0.0,0.0,0.0,0.0,7.3
ESAWC000029,PH063022168,2021-01-01,Y,0.28,50.02,0.41,4.76,0.14,0.0,0.99,0.01,51.39
ESAWC00002A,PH063022069,2021-01-01,Y,0.63,100.0,0.0,0.15,0.0,0.0,0.0,0.0,0.08
ESAWC00002B,PH063022169,2021-01-01,Y,0.23,99.83,0.0,2.23,0.0,0.0,0.08,0.0,18.37
ESAWC00009B,PH063022124,2021-01-01,Y,0.07,94.89,0.0,1.44,0.0,0.0,0.0,0.0,12.39
ESAWC00009C,PH063022091,2021-01-01,Y,0.0,100.0,0.0,0.18,0.0,0.0,0.0,0.0,3.63
ESAWC00009D,PH063022139,2021-01-01,Y,0.63,100.0,0.0,0.13,0.0,0.0,0.0,0.0,1.01
ESAWC00009E,PH063022117,2021-01-01,Y,0.08,52.87,1.75,15.52,3.41,0.0,29.01,0.0,9.0
ESAWC00009F,PH063022121,2021-01-01,Y,0.04,79.96,0.24,1.68,0.2,1.36,4.61,0.0,21.21
ESAWC0000A0,PH063022062,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.11
ESAWC0000A1,PH063022170,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,21.11
ESAWC0000A2,PH063022093,2021-01-01,Y,0.0,100.0,0.0,0.85,0.0,0.0,0.0,0.0,24.92
ESAWC0000A3,PH063022157,2021-01-01,Y,0.0,100.0,0.0,4.51,0.0,0.0,0.0,0.0,19.01
ESAWC0000A4,PH063022073,2021-01-01,Y,0.32,82.52,0.0,11.79,0.0,0.0,17.73,0.0,15.24
ESAWC0000A5,PH063022106,2021-01-01,Y,0.03,74.87,0.0,0.79,0.0,0.0,0.0,0.0,30.33
ESAWC0000A6,PH063022171,2021-01-01,Y,0.39,11.81,6.88,21.3,7.27,0.0,37.52,0.01,20.19
ESAWC0000A7,PH063022094,2021-01-01,Y,0.63,95.68,4.21,7.49,0.2,15.58,26.68,0.0,9.74
ESAWC0000A8,PH063022021,2021-01-01,Y,0.22,87.71,0.02,8.49,0.0,0.0,0.03,0.0,16.47
ESAWC0000A9,PH063022005,2021-01-01,Y,0.0,100.01,0.0,14.89,0.0,0.0,0.0,0.0,8.98
ESAWC0000AA,PH063022156,2021-01-01,Y,0.01,97.86,0.0,5.81,0.0,0.0,4.12,0.0,7.2
ESAWC0000AB,PH063022201,2021-01-01,Y,0.02,47.16,0.4,13.46,0.0,0.0,0.0,0.0,55.14
ESAWC0000AC,PH063022022,2021-01-01,Y,1.37,99.08,0.0,0.0,0.0,0.0,0.0,0.0,1.31
ESAWC0000AD,PH063022025,2021-01-01,Y,5.65,100.33,0.0,7.55,0.0,0.0,0.15,0.0,22.8
ESAWC0000AE,PH063022001,2021-01-01,Y,0.01,26.14,2.29,4.45,0.0,0.0,3.75,0.0,86.9
ESAWC0000AF,PH063022126,2021-01-01,Y,0.0,99.92,0.0,0.0,0.0,0.0,0.08,0.0,0.0
ESAWC0000B0,PH063022137,2021-01-01,Y,0.48,98.62,0.0,0.0,0.0,0.0,0.28,0.0,2.78
ESAWC000125,PH063022118,2021-01-01,Y,0.88,66.26,3.74,1.14,0.0,0.0,6.03,0.12,22.43
ESAWC000126,PH063022015,2021-01-01,Y,0.0,100.0,0.0,7.23,0.0,0.0,0.0,0.0,21.17
ESAWC000127,PH063022152,2021-01-01,Y,0.41,13.22,12.21,40.8,0.0,0.0,0.0,0.0,37.94
ESAWC000128,PH063022040,2021-01-01,Y,0.13,96.81,0.29,5.32,0.0,0.0,0.0,0.0,14.43
ESAWC000129,PH063022020,2021-01-01,Y,0.0,70.37,0.0,0.49,0.0,0.0,29.63,0.0,5.05
ESAWC00012A,PH063022109,2021-01-01,Y,0.77,51.12,0.0,6.86,0.0,0.0,0.0,0.0,44.15
ESAWC00012B,PH063022110,2021-01-01,Y,0.36,83.67,0.0,1.47,0.0,0.0,7.76,0.0,13.75
ESAWC00012C,PH063022149,2021-01-01,Y,0.39,100.23,0.0,7.73,0.0,0.0,0.0,0.0,24.21
ESAWC00012D,PH063022052,2021-01-01,Y,0.0,100.27,0.0,4.33,0.0,0.0,0.0,0.0,32.46
ESAWC00012E,PH063022138,2021-01-01,Y,0.0,90.54,0.0,0.58,0.0,0.0,1.04,0.0,10.25
ESAWC00012F,PH063022176,2021-01-01,Y,2.03,83.26,0.04,10.77,0.0,0.0,17.69,0.0,18.4
ESAWC000130,PH063022179,2021-01-01,Y,0.13,36.11,0.05,36.39,0.0,0.0,0.0,0.0,40.77
ESAWC000131,PH063022054,2021-01-01,Y,0.78,100.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
ESAWC000132,PH063022092,2021-01-01,Y,0.26,76.71,0.0,0.35,0.0,0.0,23.29,0.0,0.0
ESAWC000133,PH063022132,2021-01-01,Y,1.92,49.68,0.03,4.3,0.0,0.0,41.28,0.0,6.74
ESAWC000134,PH063022085,2021-01-01,Y,0.0,82.68,0.0,0.78,0.0,0.0,13.45,0.0,16.76
ESAWC000135,PH063022160,2021-01-01,Y,2.38,94.66,1.93,24.48,0.24,0.0,6.33,0.0,10.34
ESAWC000136,PH063022134,2021-01-01,Y,0.05,100.35,0.43,0.63,0.0,0.0,0.0,0.0,18.8
ESAWC000137,PH063022035,2021-01-01,Y,0.29,100.0,0.0,0.77,0.0,0.0,0.0,0.0,19.7
ESAWC000138,PH063022029,2021-01-01,Y,0.07,53.59,0.0,2.04,0.0,0.0,0.0,0.0,56.09
ESAWC000139,PH063022194,2021-01-01,Y,0.02,60.32,1.87,2.05,0.18,0.0,13.44,0.0,33.0
ESAWC00013A,PH063022144,2021-01-01,Y,0.07,52.2,7.95,18.8,0.0,0.0,0.0,0.0,43.08
ESAWC00013B,PH063022095,2021-01-01,Y,0.22,100.12,0.0,1.4,0.0,0.0,0.0,0.0,8.34
ESAWC00013C,PH063022164,2021-01-01,Y,1.13,69.48,0.22,3.92,0.26,0.0,11.96,0.0,31.05
ESAWC00013D,PH063022158,2021-01-01,Y,1.65,100.03,1.34,4.49,0.0,0.0,17.37,0.0,15.53
ESAWC00013E,PH063022197,2021-01-01,Y,1.13,100.0,0.0,0.28,0.0,0.0,0.0,0.0,12.73
ESAWC00013F,PH063022114,2021-01-01,Y,0.56,31.77,1.9,26.44,2.02,0.0,29.74,0.0,14.97
ESAWC000140,PH063022183,2021-01-01,Y,0.12,16.87,4.5,7.66,0.0,0.0,0.01,0.0,81.47
ESAWC000141,PH063022099,2021-01-01,Y,0.0,100.28,0.0,5.06,0.0,0.0,0.0,0.0,14.68
ESAWC000142,PH063022077,2021-01-01,Y,0.0,95.17,0.0,0.19,0.0,0.0,0.0,0.0,15.09
ESAWC000143,PH063022123,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESAWC000144,PH063022150,2021-01-01,Y,0.0,100.0,0.0,3.5,0.0,0.0,0.0,0.0,17.06
ESAWC000145,PH063022122,2021-01-01,Y,1.44,96.64,0.0,0.07,0.0,0.0,1.26,0.0,7.56
ESAWC000146,PH063022038,2021-01-01,Y,0.0,70.5,0.0,0.24,0.0,0.0,29.5,0.0,3.74
ESAWC000147,PH063022196,2021-01-01,Y,0.55,93.49,0.0,9.53,0.0,0.0,0.0,0.0,29.88
ESAWC000148,PH063022167,2021-01-01,Y,0.21,60.65,0.0,1.51,0.01,0.0,10.7,0.0,29.93
ESAWC000149,PH063022182,2021-01-01,Y,0.0,100.0,0.0,0.58,0.0,0.0,0.0,0.0,10.6
ESAWC0001D1,PH063022034,2021-01-01,Y,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
ESAWC0001D2,PH063022074,2021-01-01,Y,0.14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.32
ESAWC0001D3,PH063022014,2021-01-01,Y,0.0,100.0,0.0,4.02,0.0,0.0,0.0,0.0,4.14
ESAWC0001D4,PH063022030,2021-01-01,Y,2.82,25.92,3.77,45.89,0.0,0.0,0.02,0.0,27.74
ESAWC0001D5,PH063022024,2021-01-01,Y,1.17,39.37,2.94,33.94,0.0,0.0,4.2,0.0,29.8
