uuid,adm4_pcode,date,freq,doh_pois_count,doh_brgy_health_station_count,doh_brgy_health_station_nearest,doh_rural_health_unit_count,doh_rural_health_unit_nearest,doh_hospital_count,doh_hospital_nearest,doh_birthing_home_lying_in_clinic_count,doh_birthing_home_lying_in_clinic_nearest,doh_infirmary_count,doh_infirmary_nearest,doh_drug_abuse_treatment_rehabilitation_center_count,doh_drug_abuse_treatment_rehabilitation_center_nearest,doh_social_hygiene_clinic_count,doh_social_hygiene_clinic_nearest,doh_medical_clinic_count,doh_medical_clinic_nearest
GPDPH000012,PH063022084,2013-01-01,S,1.0,1.0,0.0,0.0,1051.0365330112684,0.0,88.19578584585658,0.0,659.665343325326,0.0,10000.0,0.0,10000.0,0.0,2681.000915870263,0.0,10000.0
GPDPH000013,PH063022081,2013-01-01,S,0.0,0.0,428.1272646196387,0.0,614.3975798206325,0.0,581.300234965207,0.0,189.07441035770856,0.0,10000.0,0.0,10000.0,0.0,881.7678220618222,0.0,10000.0
GPDPH000014,PH063022178,2013-01-01,S,1.0,0.0,45.39865696120769,0.0,145.72198128815907,1.0,0.0,0.0,1144.325584449217,0.0,10000.0,0.0,10000.0,0.0,2780.977376416502,0.0,10000.0
GPDPH000015,PH063022189,2013-01-01,S,2.0,1.0,0.0,0.0,1375.08522816154,1.0,0.0,0.0,556.8874251625754,0.0,10000.0,0.0,10000.0,0.0,390.3569616702815,0.0,10000.0
GPDPH000016,PH063022064,2013-01-01,S,0.0,0.0,140.14275661448727,0.0,107.80835108766551,0.0,365.7452164397565,0.0,1595.7693803352402,0.0,10000.0,0.0,10000.0,0.0,3716.423686649997,0.0,10000.0
GPDPH000017,PH063022033,2013-01-01,S,1.0,1.0,0.0,0.0,4222.624996794905,0.0,1037.0084067551825,0.0,1290.1119413830186,0.0,10000.0,0.0,10000.0,0.0,6889.473423820015,0.0,10000.0
GPDPH000018,PH063022080,2013-01-01,S,1.0,0.0,128.5343152839174,1.0,0.0,0.0,238.910599843385,0.0,1016.5403831314588,0.0,10000.0,0.0,10000.0,0.0,1522.6531780432535,0.0,10000.0
GPDPH000019,PH063022097,2013-01-01,S,0.0,0.0,289.05152193856054,0.0,887.8570737038459,0.0,617.6122971931401,0.0,1199.0027040449602,0.0,10000.0,0.0,10000.0,0.0,3127.7456011121267,0.0,10000.0
GPDPH00001A,PH063022154,2013-01-01,S,0.0,0.0,281.2938083970405,0.0,949.4093859798536,0.0,73.03240797714912,0.0,504.3812351367376,0.0,10000.0,0.0,10000.0,0.0,2540.641082770584,0.0,10000.0
GPDPH00001B,PH063022041,2013-01-01,S,1.0,1.0,0.0,0.0,1242.924699742684,0.0,722.5387456072302,0.0,785.1698799454819,0.0,10000.0,0.0,10000.0,0.0,3212.832521611847,0.0,10000.0
GPDPH00001C,PH063022186,2013-01-01,S,0.0,0.0,177.93147972848496,0.0,1271.8884451158085,0.0,143.89582055994634,0.0,183.5461178353359,0.0,10000.0,0.0,10000.0,0.0,148.7581644689835,0.0,10000.0
GPDPH00001D,PH063022161,2013-01-01,S,0.0,0.0,555.8098997759164,0.0,1008.0977051544554,0.0,1682.4106941667935,0.0,481.5283353454601,0.0,10000.0,0.0,10000.0,0.0,4092.181744567687,0.0,10000.0
GPDPH00001E,PH063022023,2013-01-01,S,0.0,0.0,458.2777511756898,0.0,573.5499525571181,0.0,3749.006673122254,0.0,3087.0897026495823,0.0,10000.0,0.0,10000.0,0.0,5267.866756714834,0.0,10000.0
GPDPH00001F,PH063022060,2013-01-01,S,1.0,1.0,0.0,0.0,1248.4116453379693,0.0,1380.51016732355,0.0,636.9896868193869,0.0,10000.0,0.0,10000.0,0.0,2525.586959857174,0.0,10000.0
GPDPH000020,PH063022159,2013-01-01,S,1.0,1.0,0.0,0.0,931.37811156299,0.0,402.97844918161854,0.0,468.33483123802944,0.0,10000.0,0.0,10000.0,0.0,2796.5817987607165,0.0,10000.0
GPDPH000021,PH063022181,2013-01-01,S,1.0,0.0,61.76678111672872,0.0,153.9749239509407,1.0,0.0,0.0,1040.4652065467997,0.0,10000.0,0.0,10000.0,0.0,1601.422830558278,0.0,10000.0
GPDPH000022,PH063022011,2013-01-01,S,1.0,1.0,0.0,0.0,4269.91577869402,0.0,182.0613114184361,0.0,692.5237725505137,0.0,10000.0,0.0,10000.0,0.0,6702.141425673868,0.0,10000.0
GPDPH000023,PH063022043,2013-01-01,S,0.0,0.0,49.33236371190155,0.0,1360.062829910211,0.0,225.0436057902273,0.0,279.81531427712656,0.0,10000.0,0.0,10000.0,0.0,254.4521574801882,0.0,10000.0
GPDPH000024,PH063022177,2013-01-01,S,1.0,1.0,0.0,0.0,2298.6071421199667,0.0,2137.2852280584834,0.0,1074.3821398623772,0.0,10000.0,0.0,10000.0,0.0,5406.3527254910205,0.0,10000.0
GPDPH000025,PH063022115,2013-01-01,S,1.0,1.0,0.0,0.0,528.3582101767632,0.0,250.8836667528845,0.0,1558.8118826695409,0.0,10000.0,0.0,10000.0,0.0,2116.074919544178,0.0,10000.0
GPDPH000026,PH063022071,2013-01-01,S,0.0,0.0,23.53769434205677,0.0,999.05682544927,0.0,50.067111940926615,0.0,44.894402321523366,0.0,10000.0,0.0,10000.0,0.0,316.161553768958,0.0,10000.0
GPDPH000027,PH063022188,2013-01-01,S,1.0,1.0,0.0,0.0,521.658757221817,0.0,1653.1024704182742,0.0,1019.2086308072284,0.0,10000.0,0.0,10000.0,0.0,2170.803128817472,0.0,10000.0
GPDPH000028,PH063022045,2013-01-01,S,1.0,1.0,0.0,0.0,430.1724092424838,0.0,887.3648296777969,0.0,1081.924627960375,0.0,10000.0,0.0,10000.0,0.0,3092.604938327506,0.0,10000.0
GPDPH000029,PH063022168,2013-01-01,S,1.0,1.0,0.0,0.0,729.5574120141868,0.0,3546.2222665417626,0.0,2428.028753433663,0.0,10000.0,0.0,10000.0,0.0,4780.882841118319,0.0,10000.0
GPDPH00002A,PH063022069,2013-01-01,S,0.0,0.0,173.1917700136037,0.0,1143.1913069844225,0.0,70.27213642019612,0.0,673.5426578390069,0.0,10000.0,0.0,10000.0,0.0,372.9515221390859,0.0,10000.0
GPDPH00002B,PH063022169,2013-01-01,S,0.0,0.0,6.161633179077396,0.0,147.15506523490214,0.0,1351.7531403894852,0.0,616.883217086555,0.0,10000.0,0.0,10000.0,0.0,1765.8001940151958,0.0,10000.0
GPDPH00009B,PH063022124,2013-01-01,S,0.0,0.0,227.1662742365546,0.0,974.5965594987,0.0,70.62032757520866,0.0,276.2390773231061,0.0,10000.0,0.0,10000.0,0.0,2192.3092354671235,0.0,10000.0
GPDPH00009C,PH063022091,2013-01-01,S,0.0,0.0,255.6856583104497,0.0,576.0678824547391,0.0,1068.899014445244,0.0,1036.1331829514695,0.0,10000.0,0.0,10000.0,0.0,3419.8931110051567,0.0,10000.0
GPDPH00009D,PH063022139,2013-01-01,S,1.0,1.0,0.0,0.0,61.77930583198312,0.0,747.535088246723,0.0,73.81252680901365,0.0,10000.0,0.0,10000.0,0.0,1983.8475069334484,0.0,10000.0
GPDPH00009E,PH063022117,2013-01-01,S,1.0,1.0,0.0,0.0,615.2253235706282,0.0,744.1899366367768,0.0,890.6305129746263,0.0,10000.0,0.0,10000.0,0.0,2106.404023891057,0.0,10000.0
GPDPH00009F,PH063022121,2013-01-01,S,1.0,1.0,0.0,0.0,1094.4069619848628,0.0,1747.312163392712,0.0,1633.4941893141454,0.0,10000.0,0.0,10000.0,0.0,2705.136152651059,0.0,10000.0
GPDPH0000A0,PH063022062,2013-01-01,S,0.0,0.0,120.53217340193332,0.0,1129.8019702832617,0.0,394.4507943886077,0.0,616.6323175752067,0.0,10000.0,0.0,10000.0,0.0,365.2598433997482,0.0,10000.0
GPDPH0000A1,PH063022170,2013-01-01,S,0.0,0.0,230.833213753708,0.0,1107.6633590815948,0.0,1461.9726533627488,0.0,795.5310875203876,0.0,10000.0,0.0,10000.0,0.0,3955.205208208674,0.0,10000.0
GPDPH0000A2,PH063022093,2013-01-01,S,0.0,0.0,503.9780006073118,0.0,888.3027214985539,0.0,1735.8114921132055,0.0,397.0641111051436,0.0,10000.0,0.0,10000.0,0.0,4101.045170450701,0.0,10000.0
GPDPH0000A3,PH063022157,2013-01-01,S,0.0,0.0,121.5550765134092,0.0,285.3133043790696,0.0,151.63818509490972,0.0,136.8820028952005,0.0,10000.0,0.0,10000.0,0.0,2013.928808821486,0.0,10000.0
GPDPH0000A4,PH063022073,2013-01-01,S,1.0,1.0,0.0,0.0,746.1334506235042,0.0,712.9635218045688,0.0,741.464774738055,0.0,10000.0,0.0,10000.0,0.0,1980.3296068958896,0.0,10000.0
GPDPH0000A5,PH063022106,2013-01-01,S,1.0,1.0,0.0,0.0,1259.1144738353755,0.0,474.6113355903029,0.0,793.5853592204965,0.0,10000.0,0.0,10000.0,0.0,3043.7040717525592,0.0,10000.0
GPDPH0000A6,PH063022171,2013-01-01,S,1.0,1.0,0.0,0.0,432.8815389764594,0.0,1361.0353984987632,0.0,1848.508805886688,0.0,10000.0,0.0,10000.0,0.0,3229.0524710762825,0.0,10000.0
GPDPH0000A7,PH063022094,2013-01-01,S,0.0,0.0,160.28796031601158,0.0,949.6169066785852,0.0,1385.6917891515131,0.0,937.5002844501709,0.0,10000.0,0.0,10000.0,0.0,2506.1418794759256,0.0,10000.0
GPDPH0000A8,PH063022021,2013-01-01,S,2.0,1.0,0.0,0.0,632.0729985530168,0.0,318.3027746959409,1.0,0.0,0.0,10000.0,0.0,10000.0,0.0,1856.2385108158592,0.0,10000.0
GPDPH0000A9,PH063022005,2013-01-01,S,0.0,0.0,19.349696422582845,0.0,550.4410185268047,0.0,711.9600175042294,0.0,542.4843281612635,0.0,10000.0,0.0,10000.0,0.0,2042.7485880125607,0.0,10000.0
GPDPH0000AA,PH063022156,2013-01-01,S,1.0,1.0,0.0,0.0,653.9158171873257,0.0,1052.471947687115,0.0,584.6428298414087,0.0,10000.0,0.0,10000.0,0.0,1362.904227813278,0.0,10000.0
GPDPH0000AB,PH063022201,2013-01-01,S,0.0,0.0,53.47210483398158,0.0,753.829885438581,0.0,722.4059511170337,0.0,559.5372269567462,0.0,10000.0,0.0,10000.0,0.0,3043.351888692563,0.0,10000.0
GPDPH0000AC,PH063022022,2013-01-01,S,0.0,0.0,61.580770341478896,0.0,1528.054366069627,0.0,545.4519259314395,0.0,528.8693428764449,0.0,10000.0,0.0,10000.0,0.0,23.92889371026056,0.0,10000.0
GPDPH0000AD,PH063022025,2013-01-01,S,1.0,0.0,97.48563567386572,1.0,0.0,0.0,728.4880730664433,0.0,654.1592197036797,0.0,10000.0,0.0,10000.0,0.0,2632.565015775182,0.0,10000.0
GPDPH0000AE,PH063022001,2013-01-01,S,1.0,1.0,0.0,0.0,1209.1466198221754,0.0,4282.415515745765,0.0,3764.89930385152,0.0,10000.0,0.0,10000.0,0.0,5858.075655052283,0.0,10000.0
GPDPH0000AF,PH063022126,2013-01-01,S,0.0,0.0,21.01199268688664,0.0,903.5724720990028,0.0,664.1182642834109,0.0,363.2953154517969,0.0,10000.0,0.0,10000.0,0.0,551.3049844925149,0.0,10000.0
GPDPH0000B0,PH063022137,2013-01-01,S,1.0,1.0,0.0,0.0,1311.2496255756178,0.0,582.6980120023468,0.0,717.7079248663356,0.0,10000.0,0.0,10000.0,0.0,152.75709686207617,0.0,10000.0
GPDPH000125,PH063022118,2013-01-01,S,1.0,1.0,0.0,0.0,888.0805879723398,0.0,450.8834784929655,0.0,390.9887224768752,0.0,10000.0,0.0,10000.0,0.0,312.652904315743,0.0,10000.0
GPDPH000126,PH063022015,2013-01-01,S,0.0,0.0,169.32502644415737,0.0,368.0194746417888,0.0,569.6496132924791,0.0,380.9392982509031,0.0,10000.0,0.0,10000.0,0.0,1616.0255214623364,0.0,10000.0
GPDPH000127,PH063022152,2013-01-01,S,1.0,1.0,0.0,0.0,2454.0094202084124,0.0,2588.24783164814,0.0,2745.6712177687,0.0,10000.0,0.0,10000.0,0.0,6057.7108424453945,0.0,10000.0
GPDPH000128,PH063022040,2013-01-01,S,0.0,0.0,149.56908286114617,0.0,30.06641039563504,0.0,1049.232270887459,0.0,632.2862822865976,0.0,10000.0,0.0,10000.0,0.0,3274.7796522622475,0.0,10000.0
GPDPH000129,PH063022020,2013-01-01,S,0.0,0.0,90.34442928397196,0.0,502.8457309072593,0.0,1245.1519362897595,0.0,1008.9219941172266,0.0,10000.0,0.0,10000.0,0.0,2053.407260856892,0.0,10000.0
GPDPH00012A,PH063022109,2013-01-01,S,1.0,1.0,0.0,0.0,1634.5279424394034,0.0,4294.445183454429,0.0,4222.545402453966,0.0,10000.0,0.0,10000.0,0.0,6187.6393950687125,0.0,10000.0
GPDPH00012B,PH063022110,2013-01-01,S,1.0,1.0,0.0,0.0,780.7113564132424,0.0,846.7432451596886,0.0,764.7478115535681,0.0,10000.0,0.0,10000.0,0.0,679.9946207199118,0.0,10000.0
GPDPH00012C,PH063022149,2013-01-01,S,0.0,0.0,219.1377550937303,0.0,126.1843009862573,0.0,468.1604764211745,0.0,953.174896320759,0.0,10000.0,0.0,10000.0,0.0,1428.1951630229782,0.0,10000.0
GPDPH00012D,PH063022052,2013-01-01,S,0.0,0.0,53.88034367682252,0.0,539.4693972186194,0.0,423.5742609554912,0.0,346.2438651582441,0.0,10000.0,0.0,10000.0,0.0,745.4046948525574,0.0,10000.0
GPDPH00012E,PH063022138,2013-01-01,S,0.0,0.0,384.4149865153951,0.0,598.8642249211267,0.0,824.1137537658558,0.0,56.59351188413458,0.0,10000.0,0.0,10000.0,0.0,894.6356060444584,0.0,10000.0
GPDPH00012F,PH063022176,2013-01-01,S,0.0,0.0,249.95308650451145,0.0,448.7540785499255,0.0,57.426246220807,0.0,982.728859801907,0.0,10000.0,0.0,10000.0,0.0,1542.4520214340748,0.0,10000.0
GPDPH000130,PH063022179,2013-01-01,S,2.0,1.0,0.0,0.0,5245.571757733808,1.0,0.0,0.0,555.3985381982909,0.0,10000.0,0.0,10000.0,0.0,7736.280867793246,0.0,10000.0
GPDPH000131,PH063022054,2013-01-01,S,0.0,0.0,175.37138961201634,0.0,607.6331975896455,0.0,351.6125160077612,0.0,462.9396125274499,0.0,10000.0,0.0,10000.0,0.0,732.726423487253,0.0,10000.0
GPDPH000132,PH063022092,2013-01-01,S,0.0,0.0,36.81809681724966,0.0,747.0804601302139,0.0,756.8985240200013,0.0,1084.727413039309,0.0,10000.0,0.0,10000.0,0.0,1886.784217724913,0.0,10000.0
GPDPH000133,PH063022132,2013-01-01,S,0.0,0.0,96.01176860970024,0.0,195.36192170220943,0.0,457.10773660958375,0.0,545.1044748124929,0.0,10000.0,0.0,10000.0,0.0,1520.254756547912,0.0,10000.0
GPDPH000134,PH063022085,2013-01-01,S,0.0,0.0,148.044525313045,0.0,320.4768010994399,0.0,449.9290290127089,0.0,330.99904130147456,0.0,10000.0,0.0,10000.0,0.0,1727.520224749573,0.0,10000.0
GPDPH000135,PH063022160,2013-01-01,S,2.0,0.0,79.1199254327068,0.0,601.7460100251434,2.0,0.0,0.0,92.46157790698004,0.0,10000.0,0.0,10000.0,0.0,1037.216455218051,0.0,10000.0
GPDPH000136,PH063022134,2013-01-01,S,1.0,0.0,512.3797652613523,1.0,0.0,0.0,2737.223893078347,0.0,1914.8311650681403,0.0,10000.0,0.0,10000.0,0.0,4135.91236260914,0.0,10000.0
GPDPH000137,PH063022035,2013-01-01,S,0.0,0.0,135.16598010243465,0.0,787.8010754676764,0.0,202.7541649462844,0.0,110.13847749752306,0.0,10000.0,0.0,10000.0,0.0,499.4208750954748,0.0,10000.0
GPDPH000138,PH063022029,2013-01-01,S,1.0,1.0,0.0,0.0,729.6217320735412,0.0,1243.4208784401478,0.0,610.4766366821625,0.0,10000.0,0.0,10000.0,0.0,3026.422732484852,0.0,10000.0
GPDPH000139,PH063022194,2013-01-01,S,0.0,0.0,162.37011961507773,0.0,166.96286117813918,0.0,2846.8633774522127,0.0,1815.516250009096,0.0,10000.0,0.0,10000.0,0.0,4138.041819706166,0.0,10000.0
GPDPH00013A,PH063022144,2013-01-01,S,1.0,1.0,0.0,0.0,1671.9794924893367,0.0,1733.6463290697682,0.0,646.8250076153919,0.0,10000.0,0.0,10000.0,0.0,5009.336731812121,0.0,10000.0
GPDPH00013B,PH063022095,2013-01-01,S,0.0,0.0,53.2371661953499,0.0,266.5743452264294,0.0,1078.4466094437068,0.0,254.43305089758823,0.0,10000.0,0.0,10000.0,0.0,2535.878170567792,0.0,10000.0
GPDPH00013C,PH063022164,2013-01-01,S,0.0,0.0,746.0730750280346,0.0,7.124053409655626,0.0,3161.224992160476,0.0,2533.6039280346363,0.0,10000.0,0.0,10000.0,0.0,4706.51934334644,0.0,10000.0
GPDPH00013D,PH063022158,2013-01-01,S,1.0,1.0,0.0,0.0,67.0451484614766,0.0,132.95669140707042,0.0,553.2670133658451,0.0,10000.0,0.0,10000.0,0.0,1113.738855878447,0.0,10000.0
GPDPH00013E,PH063022197,2013-01-01,S,1.0,1.0,0.0,0.0,1303.5306430831552,0.0,412.3987565517917,0.0,610.89079346098,0.0,10000.0,0.0,10000.0,0.0,46.2183676142087,0.0,10000.0
GPDPH00013F,PH063022114,2013-01-01,S,1.0,1.0,0.0,0.0,734.6054627072039,0.0,232.3839618916822,0.0,133.78085606202885,0.0,10000.0,0.0,10000.0,0.0,897.9785833158522,0.0,10000.0
GPDPH000140,PH063022183,2013-01-01,S,1.0,1.0,0.0,0.0,946.9663363081388,0.0,1624.0924867398294,0.0,934.4416060881804,0.0,10000.0,0.0,10000.0,0.0,3171.1936770304,0.0,10000.0
GPDPH000141,PH063022099,2013-01-01,S,3.0,0.0,68.84771581914991,1.0,0.0,0.0,415.91683584124286,2.0,0.0,0.0,10000.0,0.0,10000.0,0.0,2219.0878218984144,0.0,10000.0
GPDPH000142,PH063022077,2013-01-01,S,1.0,1.0,0.0,0.0,497.0038677722205,0.0,601.9946396739165,0.0,172.06497129593262,0.0,10000.0,0.0,10000.0,0.0,2695.009811951561,0.0,10000.0
GPDPH000143,PH063022123,2013-01-01,S,0.0,0.0,207.9060258264876,0.0,787.1410982531328,0.0,617.780931371809,0.0,261.2301789726732,0.0,10000.0,0.0,10000.0,0.0,703.8150546364363,0.0,10000.0
GPDPH000144,PH063022150,2013-01-01,S,0.0,0.0,74.99882399153552,0.0,1221.8699731857782,0.0,86.23365576142055,0.0,145.3404405583914,0.0,10000.0,0.0,10000.0,0.0,414.53604400829454,0.0,10000.0
GPDPH000145,PH063022122,2013-01-01,S,0.0,0.0,366.3902034900738,0.0,80.96715617725384,0.0,1080.986144811547,0.0,216.94617298220152,0.0,10000.0,0.0,10000.0,0.0,1370.3881517426253,0.0,10000.0
GPDPH000146,PH063022038,2013-01-01,S,1.0,1.0,0.0,0.0,490.2332130175576,0.0,1411.065587039355,0.0,1031.3805543392311,0.0,10000.0,0.0,10000.0,0.0,2153.967205305801,0.0,10000.0
GPDPH000147,PH063022196,2013-01-01,S,2.0,1.0,0.0,1.0,0.0,0.0,234.03569027734284,0.0,1489.057188591077,0.0,10000.0,0.0,10000.0,0.0,3533.3390915109885,0.0,10000.0
GPDPH000148,PH063022167,2013-01-01,S,1.0,1.0,0.0,0.0,722.5565950928636,0.0,2883.1753350470644,0.0,1653.6952767868224,0.0,10000.0,0.0,10000.0,0.0,4014.712519766711,0.0,10000.0
GPDPH000149,PH063022182,2013-01-01,S,0.0,0.0,32.13405327805149,0.0,210.43081032268304,0.0,1035.963917323829,0.0,1160.6590783423655,0.0,10000.0,0.0,10000.0,0.0,3171.408954434579,0.0,10000.0
GPDPH0001D1,PH063022034,2013-01-01,S,0.0,0.0,97.21080271956276,0.0,555.9944810912617,0.0,913.79593566117,0.0,1212.3341069580215,0.0,10000.0,0.0,10000.0,0.0,3216.645396239111,0.0,10000.0
GPDPH0001D2,PH063022074,2013-01-01,S,0.0,0.0,80.32168130357893,0.0,1308.1843090196508,0.0,230.07708672023344,0.0,616.1179871873164,0.0,10000.0,0.0,10000.0,0.0,62.03331221643989,0.0,10000.0
GPDPH0001D3,PH063022014,2013-01-01,S,1.0,1.0,0.0,0.0,550.4410185268047,0.0,986.4336787563184,0.0,542.4843281612635,0.0,10000.0,0.0,10000.0,0.0,2322.9029349956736,0.0,10000.0
GPDPH0001D4,PH063022030,2013-01-01,S,0.0,0.0,471.4574016808793,0.0,604.6362822356257,0.0,306.41295380562565,0.0,2461.1240723233323,0.0,10000.0,0.0,10000.0,0.0,3404.690194600954,0.0,10000.0
GPDPH0001D5,PH063022024,2013-01-01,S,1.0,1.0,0.0,0.0,3337.6996868018628,0.0,1457.8691219095508,0.0,920.8009179423472,0.0,10000.0,0.0,10000.0,0.0,5846.513296212612,0.0,10000.0
GPDPH0001D6,PH063022199,2013-01-01,S,1.0,1.0,0.0,0.0,1665.2870855985093,0.0,1924.8960905218776,0.0,1528.8149639116857,0.0,10000.0,0.0,10000.0,0.0,3962.900594126311,0.0,10000.0
GPDPH0001D7,PH063022175,2013-01-01,S,1.0,1.0,0.0,0.0,1175.3990244534994,0.0,897.4145302689323,0.0,423.3528452675994,0.0,10000.0,0.0,10000.0,0.0,3486.992663714529,0.0,10000.0
GPDPH0001D8,PH063022119,2013-01-01,S,1.0,1.0,0.0,0.0,219.14362726099972,0.0,78.08984355628489,0.0,1230.2953609514116,0.0,10000.0,0.0,10000.0,0.0,1770.6069597140076,0.0,10000.0
GPDPH0001D9,PH063022112,2013-01-01,S,2.0,0.0,339.99611121698604,0.0,939.4813047267022,2.0,0.0,0.0,276.2090366209289,0.0,10000.0,0.0,10000.0,0.0,2110.7980604070226,0.0,10000.0
GPDPH0001DA,PH063022048,2013-01-01,S,0.0,0.0,11.602072757953314,0.0,544.0696019587176,0.0,1988.299709161568,0.0,1038.2965664931517,0.0,10000.0,0.0,10000.0,0.0,3327.233300069726,0.0,10000.0
