Unnamed: 0,adm1_en,adm1_pcode,adm2_en,adm2_pcode,adm3_en,adm3_pcode,adm4_en,adm4_pcode,brgy_total_area
18,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Our Lady Of Fatima,PH063022084,0.1906
19,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Kauswagan,PH063022081,0.0434
20,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Abeto Mirasol Taft South (Quirino Abeto),PH063022178,0.544
21,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Villa Anita,PH063022189,0.1176
22,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Guzman-Jesena,PH063022064,0.8889
23,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Camalig,PH063022033,0.5585
24,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Katilingban,PH063022080,0.0484
25,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Luna (Jaro),PH063022097,0.0387
26,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,San Jose (Jaro),PH063022154,0.038
27,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Cubay,PH063022041,1.0505
28,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Timawa Tanza II,PH063022186,0.0446
29,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,San Roque,PH063022161,0.0545
30,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Bonifacio (Arevalo),PH063022023,0.3728
31,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,South Fundidor,PH063022060,0.7899
32,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,San Pedro (Jaro),PH063022159,0.0616
33,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Tap-oc,PH063022181,0.0601
34,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Balantang,PH063022011,1.9534
35,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Mabolo-Delgado,PH063022043,0.0524
36,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Tacas,PH063022177,3.6503
37,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Navais,PH063022115,1.2421
38,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Infante,PH063022071,0.0897
39,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Veterans Village,PH063022188,0.2329
40,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Desamparados,PH063022045,0.0271
41,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Santo Niño Sur,PH063022168,0.9807
42,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Hipodromo,PH063022069,0.0535
43,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Santo Rosario-Duran,PH063022169,0.1146
155,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,Our Lady Of Lourdes,PH063022124,0.2331
156,Region VI,PH060000000,Iloilo,PH063000000,Iloilo City,PH063022000,"Libertad, Santa Isabel",PH063022091,0.0458
