uuid,adm4_pcode,date,freq,atm_count,atm_nearest,bank_count,bank_nearest,college_count,college_nearest,community_centre_count,community_centre_nearest,convenience_count,convenience_nearest,fire_station_count,fire_station_nearest,kindergarten_count,kindergarten_nearest,lighthouse_count,lighthouse_nearest,market_place_count,market_place_nearest,park_count,park_nearest,police_count,police_nearest,school_count,school_nearest,shelter_count,shelter_nearest,supermarket_count,supermarket_nearest,telephone_count,telephone_nearest,town_hall_count,town_hall_nearest,university_count,university_nearest
OSMPA000012,PH063022084,2018-01-01,Y,1.0,0.0,1.0,0.0,0.0,826.352602266341,0.0,1403.647585109151,2.0,0.0,0.0,1096.951408577912,0.0,555.424968398662,0.0,10000.0,0.0,10000.0,0.0,411.6936759641525,0.0,211.9766193834552,0.0,248.86718925536908,0.0,1202.675612077637,0.0,84.61551211193,0.0,10000.0,0.0,1409.252645153576,0.0,421.2590546523885
OSMPA000013,PH063022081,2018-01-01,Y,0.0,145.3587348899588,2.0,0.0,0.0,1533.1096940782409,0.0,935.1776164491492,1.0,0.0,0.0,1703.567317163968,0.0,1956.1626067456843,0.0,10000.0,0.0,10000.0,0.0,3407.975288226265,0.0,682.9618715931315,0.0,254.06906624631475,0.0,2758.695099832029,1.0,0.0,0.0,10000.0,0.0,52.68879522372044,0.0,1175.5192480470596
OSMPA000014,PH063022178,2018-01-01,Y,1.0,0.0,2.0,0.0,0.0,818.8167760729104,0.0,68.91112624384625,4.0,0.0,0.0,1638.2198307914748,0.0,1998.0869971374864,0.0,10000.0,0.0,10000.0,0.0,1193.2008678936802,0.0,657.825994473418,1.0,0.0,0.0,388.392604210587,1.0,0.0,0.0,10000.0,0.0,740.6201246543616,0.0,1923.36662300894
OSMPA000015,PH063022189,2018-01-01,Y,1.0,0.0,1.0,0.0,0.0,702.6193931703552,1.0,0.0,11.0,0.0,0.0,1479.820781210268,0.0,1458.6882123684566,0.0,10000.0,0.0,10000.0,0.0,2733.029076899913,0.0,253.35759639564816,5.0,0.0,0.0,1771.224022464185,2.0,0.0,0.0,10000.0,0.0,853.3194939994374,0.0,341.8835364943586
OSMPA000016,PH063022064,2018-01-01,Y,0.0,771.789840531666,0.0,414.3008637640334,0.0,1273.4125394367077,0.0,128.00636589588012,4.0,0.0,0.0,1547.399871144673,0.0,3271.5938272177023,0.0,10000.0,0.0,10000.0,0.0,2342.278833603558,0.0,1626.188608953863,0.0,398.2699924674712,1.0,0.0,0.0,194.5068895671345,0.0,10000.0,0.0,1309.3071755738172,0.0,2804.856937456578
OSMPA000017,PH063022033,2018-01-01,Y,0.0,3595.898492260784,0.0,1278.0915903157097,0.0,3193.714891672002,0.0,3754.456921221264,4.0,0.0,0.0,2986.848872943251,0.0,4569.661559091187,0.0,10000.0,0.0,10000.0,0.0,1800.3437149408276,1.0,0.0,0.0,477.7924270531793,0.0,3862.856949843272,0.0,825.3201361657336,0.0,10000.0,0.0,1072.5615613481743,0.0,4270.335276056257
OSMPA000018,PH063022080,2018-01-01,Y,0.0,1443.5762596766117,0.0,34.75339408159652,0.0,826.1955648277956,0.0,169.45297215235328,1.0,0.0,1.0,0.0,0.0,2900.146434071311,0.0,10000.0,0.0,10000.0,0.0,3360.6740264725004,0.0,2197.39025095791,0.0,82.30025150908129,0.0,630.9910025015556,1.0,0.0,0.0,10000.0,0.0,1007.8491458595564,0.0,889.6768830830866
OSMPA000019,PH063022097,2018-01-01,Y,0.0,16.329570104822835,0.0,38.293937044422016,0.0,1215.6274452771868,0.0,1142.9965788942416,0.0,365.3616252646949,0.0,1645.9267655913202,0.0,1115.572691126318,0.0,10000.0,0.0,10000.0,0.0,99.32113183685988,0.0,191.6930005324816,0.0,320.4523428304299,0.0,956.7160799394264,0.0,78.51687115384667,0.0,10000.0,0.0,1148.808608173029,0.0,958.7705656436603
OSMPA00001A,PH063022154,2018-01-01,Y,0.0,35.17099635429802,0.0,84.35709670344872,0.0,639.8917364506007,0.0,1659.6994405829994,2.0,0.0,0.0,932.1575111921612,0.0,370.6558337554728,0.0,10000.0,0.0,10000.0,0.0,986.0355626597266,0.0,25.400074979261827,0.0,94.77394883363216,0.0,1769.5125425582962,0.0,652.7863534644983,0.0,10000.0,0.0,1989.836626162044,0.0,248.08888819157332
OSMPA00001B,PH063022041,2018-01-01,Y,0.0,523.2609827651942,0.0,177.0168751426626,0.0,1122.5004224473,0.0,1430.1374023200328,1.0,0.0,0.0,1204.574682832826,0.0,886.7124786858071,0.0,10000.0,0.0,10000.0,0.0,883.3370009144639,0.0,719.3538656261564,1.0,0.0,0.0,1406.780031389215,0.0,611.2935809139788,0.0,10000.0,0.0,1435.206096698713,0.0,600.4912939488534
OSMPA00001C,PH063022186,2018-01-01,Y,0.0,378.5318842209052,0.0,375.7896726758396,0.0,344.1732613287423,0.0,500.5667089363201,0.0,13.085157344122214,0.0,1265.0444288822534,0.0,2089.1400680443194,0.0,10000.0,0.0,10000.0,0.0,3138.942018183924,0.0,938.8029112206968,0.0,321.37786258819165,0.0,1618.075540507519,0.0,611.910015157001,0.0,10000.0,0.0,1207.3085168213795,0.0,35.32895151036033
OSMPA00001D,PH063022161,2018-01-01,Y,0.0,767.2246619027069,0.0,212.8025026353669,0.0,348.3856671762945,0.0,644.2982047243233,0.0,66.48484181078776,0.0,942.5576991646876,0.0,2174.9239521024674,0.0,10000.0,0.0,10000.0,0.0,648.3541985329596,0.0,539.0912321039634,0.0,158.38072280704935,0.0,700.2902951107931,0.0,584.7326763861473,0.0,10000.0,0.0,648.3315300762976,0.0,2004.70742651872
OSMPA00001E,PH063022023,2018-01-01,Y,0.0,610.8516974853012,0.0,579.2948278386493,0.0,4650.573312143406,0.0,346.5224264037589,1.0,0.0,0.0,3760.309569299983,0.0,6585.179285169736,0.0,10000.0,0.0,10000.0,0.0,6538.405073869896,0.0,585.81188445079,0.0,41.04621630027394,0.0,3867.6313439093447,0.0,602.2464405380722,0.0,10000.0,0.0,405.2261457691434,0.0,4720.434227615399
OSMPA00001F,PH063022060,2018-01-01,Y,0.0,1224.197613547093,0.0,1257.6532509170045,0.0,2048.7001606902727,0.0,78.74166137247104,1.0,0.0,0.0,1265.371159000554,0.0,4243.464883029318,0.0,10000.0,0.0,10000.0,0.0,4297.2925825977145,0.0,978.1764057637412,0.0,58.016880833243526,0.0,1566.5255065406318,0.0,1225.2747256446896,0.0,10000.0,0.0,21.51435303317036,0.0,2185.444829609251
OSMPA000020,PH063022159,2018-01-01,Y,0.0,346.0926665098205,0.0,348.70748984302065,0.0,731.734456647195,0.0,1623.8763977350077,1.0,0.0,0.0,904.726212118612,0.0,478.1086066899186,0.0,10000.0,0.0,10000.0,0.0,928.511501833595,0.0,332.38474099371695,0.0,54.87517356956607,0.0,1810.9427861253896,0.0,698.6618412615128,0.0,10000.0,0.0,2003.0129983587751,0.0,223.8392207894987
OSMPA000021,PH063022181,2018-01-01,Y,0.0,1340.8846605090257,0.0,198.2637909189524,0.0,833.7421342323141,1.0,0.0,2.0,0.0,0.0,181.8636560506321,0.0,2657.269748965825,0.0,10000.0,0.0,10000.0,0.0,3034.9774686821847,0.0,1996.49848712813,1.0,0.0,0.0,342.1292964524628,0.0,11.021461425159178,0.0,10000.0,0.0,1232.974966183306,0.0,803.2493582318468
