uuid,adm4_pcode,date,freq,clinic_count,clinic_nearest,dentist_count,dentist_nearest,doctors_count,doctors_nearest,hospital_count,hospital_nearest,optician_count,optician_nearest,pharmacy_count,pharmacy_nearest
OSMPH000012,PH063022084,2018-01-01,Y,0.0,10000.0,0.0,1973.288172634096,0.0,2260.1143713989422,0.0,159.33920374431025,0.0,10000.0,2.0,0.0
OSMPH000013,PH063022081,2018-01-01,Y,0.0,10000.0,0.0,3718.059602972937,0.0,814.3754189785661,0.0,466.6087894226596,0.0,10000.0,1.0,0.0
OSMPH000014,PH063022178,2018-01-01,Y,0.0,10000.0,2.0,0.0,0.0,2416.1994057941206,2.0,0.0,0.0,10000.0,10.0,0.0
OSMPH000015,PH063022189,2018-01-01,Y,0.0,10000.0,0.0,2724.2336576624803,1.0,0.0,0.0,1096.4892092777725,0.0,10000.0,0.0,347.3354413355907
OSMPH000016,PH063022064,2018-01-01,Y,0.0,10000.0,0.0,548.0135739928858,0.0,2643.3492759481264,0.0,658.0792142380599,0.0,10000.0,0.0,195.91770467138429
OSMPH000017,PH063022033,2018-01-01,Y,0.0,10000.0,0.0,5049.183393273032,0.0,6467.474148908937,0.0,982.2032307169436,0.0,10000.0,0.0,601.1727341254701
OSMPH000018,PH063022080,2018-01-01,Y,0.0,10000.0,0.0,2267.139771983762,0.0,429.125843847348,1.0,0.0,0.0,10000.0,0.0,15.841551282992256
OSMPH000019,PH063022097,2018-01-01,Y,0.0,10000.0,0.0,1872.8552422108985,0.0,2714.0173730620595,0.0,164.97929533770903,0.0,10000.0,0.0,14.929202716144204
OSMPH00001A,PH063022154,2018-01-01,Y,0.0,10000.0,0.0,2281.02966551806,0.0,2118.7302998790487,0.0,151.95573799843848,0.0,10000.0,2.0,0.0
OSMPH00001B,PH063022041,2018-01-01,Y,0.0,10000.0,0.0,2630.497300113889,0.0,2791.5632772330423,0.0,768.5540361059062,0.0,10000.0,0.0,225.04914718627447
OSMPH00001C,PH063022186,2018-01-01,Y,0.0,10000.0,0.0,2858.8771807326825,0.0,239.1256619271104,0.0,1287.298760667284,0.0,10000.0,0.0,511.777764846832
OSMPH00001D,PH063022161,2018-01-01,Y,0.0,10000.0,0.0,1931.6567913755207,0.0,3692.6721547123984,0.0,571.6524027568687,0.0,10000.0,0.0,238.79038476533592
