uuid,date,adm4_pcode,freq,drinking_water_count,drinking_water_nearest,water_mill_count,water_mill_nearest,water_tower_count,water_tower_nearest,water_works_count,water_works_nearest,water_well_count,water_well_nearest,sanitary_dump_station_count,sanitary_dump_station_nearest,toilet_count,toilet_nearest,recycling_count,waste_basket_count,waste_basket_nearest,wastewater_plant_count,wastewater_plant_nearest,waste_transfer_station_count,waste_transfer_station_nearest
OSMPS000038,2014-01-01,PH063022129,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,8009.51681732379,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPS000039,2014-01-01,PH063022173,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,8151.957456597269,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPS00003A,2014-01-01,PH063022087,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,6570.077484763639,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPS00003B,2014-01-01,PH063022101,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,5215.304450776835,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPS00003C,2014-01-01,PH063022086,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,756.681688894628,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPS00003D,2014-01-01,PH063022050,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,4702.200377147076,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPS00004F,2014-01-01,PH063022019,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,935.1176279531414,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPS000050,2014-01-01,PH063022056,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,4704.2577073739,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPS000051,2014-01-01,PH063022076,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,5022.98574979381,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
OSMPS000052,2014-01-01,PH063022128,Y,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,5583.35623781398,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0
