uuid,date,adm4_pcode,freq,poi_count
OSMPT000012,2018-01-01,PH063022084,Y,22.0
OSMPT000013,2018-01-01,PH063022081,Y,15.0
OSMPT000014,2018-01-01,PH063022178,Y,43.0
OSMPT000015,2018-01-01,PH063022189,Y,46.0
OSMPT000016,2018-01-01,PH063022064,Y,13.0
OSMPT000017,2018-01-01,PH063022033,Y,6.0
OSMPT000018,2018-01-01,PH063022080,Y,9.0
OSMPT000019,2018-01-01,PH063022097,Y,2.0
OSMPT00001A,2018-01-01,PH063022154,Y,8.0
OSMPT00001B,2018-01-01,PH063022041,Y,7.0
OSMPT00001C,2018-01-01,PH063022186,Y,0.0
OSMPT00001D,2018-01-01,PH063022161,Y,1.0
OSMPT00001E,2018-01-01,PH063022023,Y,2.0
OSMPT00001F,2018-01-01,PH063022060,Y,1.0
OSMPT000020,2018-01-01,PH063022159,Y,1.0
OSMPT000021,2018-01-01,PH063022181,Y,7.0
OSMPT000022,2018-01-01,PH063022011,Y,4.0
OSMPT000023,2018-01-01,PH063022043,Y,0.0
OSMPT000024,2018-01-01,PH063022177,Y,8.0
OSMPT000025,2018-01-01,PH063022115,Y,4.0
OSMPT000026,2018-01-01,PH063022071,Y,6.0
OSMPT000027,2018-01-01,PH063022188,Y,4.0
OSMPT000028,2018-01-01,PH063022045,Y,2.0
OSMPT000029,2018-01-01,PH063022168,Y,34.0
OSMPT00002A,2018-01-01,PH063022069,Y,7.0
OSMPT00002B,2018-01-01,PH063022169,Y,3.0
OSMPT00009B,2018-01-01,PH063022124,Y,10.0
OSMPT00009C,2018-01-01,PH063022091,Y,7.0
OSMPT00009D,2018-01-01,PH063022139,Y,14.0
OSMPT00009E,2018-01-01,PH063022117,Y,4.0
OSMPT00009F,2018-01-01,PH063022121,Y,1.0
OSMPT0000A0,2018-01-01,PH063022062,Y,4.0
OSMPT0000A1,2018-01-01,PH063022170,Y,4.0
OSMPT0000A2,2018-01-01,PH063022093,Y,2.0
OSMPT0000A3,2018-01-01,PH063022157,Y,10.0
OSMPT0000A4,2018-01-01,PH063022073,Y,5.0
OSMPT0000A5,2018-01-01,PH063022106,Y,2.0
OSMPT0000A6,2018-01-01,PH063022171,Y,1.0
OSMPT0000A7,2018-01-01,PH063022094,Y,5.0
OSMPT0000A8,2018-01-01,PH063022021,Y,13.0
OSMPT0000A9,2018-01-01,PH063022005,Y,0.0
OSMPT0000AA,2018-01-01,PH063022156,Y,6.0
OSMPT0000AB,2018-01-01,PH063022201,Y,2.0
OSMPT0000AC,2018-01-01,PH063022022,Y,0.0
OSMPT0000AD,2018-01-01,PH063022025,Y,13.0
OSMPT0000AE,2018-01-01,PH063022001,Y,5.0
OSMPT0000AF,2018-01-01,PH063022126,Y,2.0
OSMPT0000B0,2018-01-01,PH063022137,Y,0.0
OSMPT000125,2018-01-01,PH063022118,Y,1.0
OSMPT000126,2018-01-01,PH063022015,Y,8.0
OSMPT000127,2018-01-01,PH063022152,Y,6.0
OSMPT000128,2018-01-01,PH063022040,Y,14.0
OSMPT000129,2018-01-01,PH063022020,Y,2.0
OSMPT00012A,2018-01-01,PH063022109,Y,3.0
OSMPT00012B,2018-01-01,PH063022110,Y,0.0
OSMPT00012C,2018-01-01,PH063022149,Y,1.0
OSMPT00012D,2018-01-01,PH063022052,Y,1.0
OSMPT00012E,2018-01-01,PH063022138,Y,2.0
OSMPT00012F,2018-01-01,PH063022176,Y,7.0
OSMPT000130,2018-01-01,PH063022179,Y,17.0
