uuid,adm4_pcode,date,freq,osm_wetland_nearest,osm_reservoir_nearest,osm_water_nearest,osm_riverbank_nearest,osm_dock_nearest,osm_river_nearest,osm_stream_nearest,osm_canal_nearest,osm_drain_nearest
OSMWB000012,PH063022084,2017-01-01,Y,1380.4357570601858,10000.0,600.8547969773733,589.5264736559909,6254.980741435416,123.80016546775298,1566.062465790057,1116.3226027028336,7643.825919822537
OSMWB000013,PH063022081,2017-01-01,Y,890.1423581423003,10000.0,543.3178400782018,386.96414948898575,4040.0565058827856,453.7547150967426,1431.4636621181576,1772.36215072983,9807.809568919363
OSMWB000014,PH063022178,2017-01-01,Y,1419.0343913251868,10000.0,665.145148371917,1115.5336034485294,7394.62822907008,356.09861944747786,587.2443323269583,1127.8863096146274,9031.444505473475
OSMWB000015,PH063022189,2017-01-01,Y,139.8177499696033,10000.0,643.2638649786358,52.68056863202389,4841.292688203836,95.55440059749066,1972.223455378524,826.9879980623136,9686.947787845693
OSMWB000016,PH063022064,2017-01-01,Y,2082.9547729866163,10000.0,878.0572052666467,1684.0712616226426,8515.600463299397,580.8248373793956,564.9267220912877,2278.5248488629786,9217.99420652068
OSMWB000017,PH063022033,2017-01-01,Y,3375.598647028143,9353.993282132777,1700.5449345047325,241.88445649267123,9257.039642846656,272.31213477719643,843.5475880753792,798.4517751392285,4217.345547490586
OSMWB000018,PH063022080,2017-01-01,Y,185.5747098743945,10000.0,185.5747098743945,242.5674063846118,6458.858682679667,287.99188246174947,3314.1001565229194,1543.5473638954509,10000.0
OSMWB000019,PH063022097,2017-01-01,Y,1928.03466078732,10000.0,1068.0064250068324,805.9861968631893,6806.932493607174,195.22878668536424,1369.043141172375,1408.5363414915469,7830.167898235915
OSMWB00001A,PH063022154,2017-01-01,Y,1197.1488082963108,10000.0,485.4261056126708,530.2453982920852,6074.837545368553,370.4145323833265,1683.2224775820744,1060.928182159083,7892.343301981517
OSMWB00001B,PH063022041,2017-01-01,Y,1733.4283545338676,10000.0,1031.4662289097944,441.1760003191821,6316.68076659746,0.0,1088.6488934396823,1752.5349539809165,6073.602508616216
OSMWB00001C,PH063022186,2017-01-01,Y,423.0128118809532,10000.0,410.33911646577496,506.261668136492,5128.336455724794,599.3306922135755,2510.46190304303,1146.254745822259,10000.0
OSMWB00001D,PH063022161,2017-01-01,Y,2988.4225276852408,10000.0,2100.947018735956,1731.3106023037622,7852.629735695512,0.0,716.7786015248275,2278.2548337340963,7440.306182640345
OSMWB00001E,PH063022023,2017-01-01,Y,981.8232353176196,10000.0,0.0,0.0,9825.931386241364,287.08489847918673,1625.114968875565,5232.178864639663,10000.0
OSMWB00001F,PH063022060,2017-01-01,Y,0.0,10000.0,0.0,0.0,7092.507810925078,0.0,3651.0537665143424,2880.921242322181,10000.0
OSMWB000020,PH063022159,2017-01-01,Y,1339.975035490271,10000.0,794.0268524797222,850.8951605299808,6065.391989906599,7.37874575362301,1384.503004897804,1383.8729362915883,7468.6391720180145
OSMWB000021,PH063022181,2017-01-01,Y,0.0,10000.0,0.0,0.0,6583.888418000006,0.0,2979.848229298125,1291.2475335469444,10000.0
OSMWB000022,PH063022011,2017-01-01,Y,2302.1038403033344,9051.265596881893,850.0819216323345,144.07148020838594,8472.568739478753,182.83297824471111,422.87539278248585,255.2743685698188,2929.67325217822
OSMWB000023,PH063022043,2017-01-01,Y,324.47250394381007,10000.0,469.14674268135946,276.9321485660539,5097.41578134341,330.59657799598875,2247.7182199757303,1023.5758958643976,10000.0
OSMWB000024,PH063022177,2017-01-01,Y,4110.191339159147,8543.824752768016,0.0,0.0,8776.79030600533,0.0,274.9932856310444,313.8849148909508,5288.616703133498
OSMWB000025,PH063022115,2017-01-01,Y,210.7452831449289,10000.0,0.0,0.0,7097.606489290642,0.0,1964.14525655176,1551.019711884636,10000.0
OSMWB000026,PH063022071,2017-01-01,Y,432.3758274321724,10000.0,343.60329629903123,277.43071770057526,5250.796793843277,597.5511435281973,2700.7520403897684,1146.97886706903,10000.0
OSMWB000027,PH063022188,2017-01-01,Y,1976.879241326259,10000.0,708.7550810866165,150.06228533211504,2396.8155825620915,238.97657738174635,669.3371385937324,3044.4220204620915,9595.964240362404
OSMWB000028,PH063022045,2017-01-01,Y,2058.7768105224304,10000.0,1192.7679459112524,774.0957608336911,7096.05963211036,0.0,1086.7458002703893,1261.4948605034049,8211.634366620712
OSMWB000029,PH063022168,2017-01-01,Y,384.7294695218246,10000.0,0.0,0.0,9127.073256395202,0.0,1060.6867238583693,5054.801458928837,10000.0
