adm3_pcode,adm4_pcode,tile_id,osm_id,settlement_type,roof_material,roof_layout,roof_area,is_gated,density,height,geometry
PH063022000,PH063022064,T00078,248826668,settlement,metal-tiled,multilayer,116.5,True,single,,"POLYGON ((122.527463388561 10.720342707162,122.527542088561 10.7204242071621,122.527480388561 10.7204816071621,122.527401788561 10.720400107162,122.527463388561 10.720342707162))"
PH063022000,PH063022064,T00078,1225931262,settlement,natural-gi-mixed,single-layer-basic,96.0,True,single,,"POLYGON ((122.528258588561 10.7213368071634,122.528313688561 10.7213967071635,122.528288288561 10.7214192071635,122.528298088561 10.7214299071635,122.528255988561 10.7214673071635,122.528196288561 10.7214023071634,122.528225188561 10.7213767071634,122.528219988561 10.7213711071634,122.528258588561 10.7213368071634))"
PH063022000,PH063022064,T00078,1225931263,settlement,natural-gi-mixed,single-layer-basic,36.2,True,single,,"POLYGON ((122.52717008856 10.7201221071616,122.52710978856 10.7200631071615,122.52711758856 10.7200263071615,122.52719208856 10.7201003071616,122.52717008856 10.7201221071616))"
PH063022000,PH063022064,T00078,1225931264,settlement,natural-gi-mixed,single-layer-basic,92.1,True,single,,"POLYGON ((122.52680588856 10.720698907162,122.52687348856 10.7207687071621,122.526816788561 10.7208217071621,122.52674918856 10.720751907162,122.52680588856 10.720698907162))"
PH063022000,PH063022064,T00078,1225931265,settlement,natural-gi-mixed,single-layer-basic,57.0,True,single,,"POLYGON ((122.52728308856 10.7200843071616,122.52721028856 10.7201534071617,122.52717768856 10.7201203071616,122.52725048856 10.7200511071616,122.52728308856 10.7200843071616))"
PH063022000,PH063022064,T00078,1225931266,settlement,metal-tiled,multilayer,158.1,True,single,,"POLYGON ((122.52738858856 10.7200859071617,122.52730358856 10.7200044071616,122.52738098856 10.7199264071615,122.52746608856 10.7200079071616,122.52738858856 10.7200859071617))"
PH063022000,PH063022064,T00078,1225931267,settlement,natural-gi-mixed,single-layer-basic,48.2,True,single,,"POLYGON ((122.527712588561 10.7209925071628,122.527667588561 10.7210331071628,122.527623088561 10.7209857071627,122.527668088561 10.7209450071627,122.527712588561 10.7209925071628))"
PH063022000,PH063022064,T00078,1225931268,settlement,natural-gi-mixed,multilayer,125.5,True,single,,"POLYGON ((122.52706918856 10.7202270071617,122.52713018856 10.7202906071618,122.52711178856 10.7203076071618,122.52712618856 10.7203227071618,122.52707188856 10.7203730071618,122.52699638856 10.7202944071617,122.52706918856 10.7202270071617))"
PH063022000,PH063022064,T00078,1225931269,settlement,concrete,single-layer-basic,77.0,True,single,,"POLYGON ((122.527022288561 10.7207476071622,122.527083788561 10.7208171071623,122.527031988561 10.7208612071623,122.526970588561 10.7207917071622,122.527022288561 10.7207476071622))"
PH063022000,PH063022064,T00078,1225931270,settlement,metal-tiled,single-layer-intricate,103.5,True,single,,"POLYGON ((122.528142088561 10.7205783071626,122.528221888561 10.7206610071627,122.528167988561 10.7207113071627,122.528088088561 10.7206285071626,122.528142088561 10.7205783071626))"
