street,vicinity,classification,zonal_value_php_sqm
AIRPORT ROAD,"BRGY STA. ROSA BDRY-BRGY TABUCAN AIRPORT BDRY(Fr. North Diversion Rd.(BS Aquino, Jr. Ave.) to R. Mapa St.)",CR,18000.0
PHHC ROAD,BENEDICTO ST-PHHC,CR,8500.0
PHHC ROAD,TAFT ST-PHHC,CR,10200.0
MIRASOL ST,TAFT ST-BRGY TABUCAN AIRPORT BDRY (DE LEON ST. - ABETO ST),RR,4250.0
MIRASOL ST,,CR*,30000.0
TAFT ST,ONATE ST - MIRASOL ST,RR,8200.0
TAFT ST,MIRASOL ST - AIRPORT ST,RR,10700.0
TAFT ST,,CR*,30000.0
ILOILO BUSINESS PARK (MEGAWORLD)**,,CR*,55000.0
ALL OTHER LOTS / STREETS,,RR,4000.0
ALL OTHER LOTS / STREETS,,CR,7200.0
ALL OTHER LOTS / STREETS,AREAS NOT BENEFITED BY ROADS,RR,3000.0
AME SUBDIVISION (AMES CIRCLE ROAD),,RR,6000.0
CORVILLE SUBD.,,RR,6000.0
EXEQUIEL SUMCIO SUBD.,,RR,6000.0
RAILWAY ROAD,DIVINAGRACIA ST-HUERVANA,RR *,4750.0
RAILWAY ROAD,HUERVANA ST-ARROYO ST,RR *,4750.0
RAILWAY ROAD,ARROYO ST-LA PAZ JARO,RR *,4750.0
RAILWAY ROAD,,CR **,15000.0
ALL OTHER LOTS / STREETS,,RR,4500.0
ALL OTHER LOTS / STREETS,,GP,10000.0
ALL OTHER LOTS / STREETS,,CR **,13500.0
AIRPORT ROAD (OLD AIRPORT ROAD),BRGY BUHANG BDRY-R MAPA ST,CR,12000.0
MIRASOL ST,DE LEON ST-BRGY ABETO MIRASOL BDRY,RR,5000.0
MIRASOL ST,,CR *,10000.0
R. MAPA ST,MIRASOL ST-AIRPORT ROAD,RR,8000.0
R. MAPA ST,AIRPORT ROAD - SOUTH END RUNWAY (MEGAWORLD BLVD-TABUCAN BDRY),CR,11000.0
ALL OTHER LOTS / STREETS,,RR,5000.0
ALL OTHER LOTS / STREETS,,CR,8000.0
ALL OTHER LOTS / STREETS,AREAS NOT BENEFITED BY ROADS,RR,5000.0
ILOILO BUSINESS PARK (MEGAWORLD),,CR *,50000.0
